miRNA_Name,id
MIMAT0018083,413
MIMAT0018087,414
MIMAT0018091,415
MIMAT0000719,416
MIMAT0018095,417
MIMAT0018097,418
MIMAT0018104,419
MIMAT0018108,420
MIMAT0018110,421
MIMAT0000721,422
MIMAT0018121,423
MIMAT0000722,424
MIMAT0000723,425
MIMAT0004687,426
MIMAT0019893,427
MIMAT0000724,428
MIMAT0000726,429
MIMAT0000725,430
MIMAT0000727,431
MIMAT0004956,432
MIMAT0004955,433
MIMAT0000728,434
MIMAT0000729,435
MIMAT0002172,436
MIMAT0000720,437
MIMAT0000730,438
MIMAT0000732,439
MIMAT0000731,440
MIMAT0016847,441
MIMAT0018926,442
MIMAT0018927,443
MIMAT0018932,444
MIMAT0018937,445
MIMAT0019074,446
MIMAT0000733,447
MIMAT0000735,448
MIMAT0000736,449
MIMAT0000737,450
MIMAT0000738,451
MIMAT0018179,452
MIMAT0018184,453
MIMAT0018185,454
MIMAT0018188,455
MIMAT0018191,456
MIMAT0018352,457
MIMAT0018356,458
MIMAT0018361,459
MIMAT0019337,460
MIMAT0001639,461
MIMAT0001638,462
MIMAT0002171,463
MIMAT0026558,464
MIMAT0003329,465
MIMAT0002170,466
MIMAT0003339,467
MIMAT0001339,468
MIMAT0001340,469
MIMAT0004748,470
MIMAT0001341,471
MIMAT0003393,472
MIMAT0016878,473
MIMAT0016879,474
MIMAT0016890,475
MIMAT0016901,476
MIMAT0016909,477
MIMAT0016915,478
MIMAT0016913,479
MIMAT0016916,480
MIMAT0016918,481
MIMAT0001536,482
MIMAT0016852,483
MIMAT0016858,484
MIMAT0001625,485
MIMAT0016863,486
MIMAT0016866,487
MIMAT0016870,488
MIMAT0002814,489
MIMAT0016876,490
MIMAT0016889,491
MIMAT0001627,492
MIMAT0018941,493
MIMAT0018942,494
MIMAT0018943,495
MIMAT0018945,496
MIMAT0018961,497
MIMAT0018966,498
MIMAT0018967,499
MIMAT0018971,500
MIMAT0018975,501
MIMAT0018976,502
MIMAT0018977,503
MIMAT0018982,504
MIMAT0018987,505
MIMAT0018988,506
MIMAT0018992,507
MIMAT0018993,508
MIMAT0018994,509
MIMAT0018997,510
MIMAT0019000,511
MIMAT0019001,512
MIMAT0019002,513
MIMAT0019003,514
MIMAT0019006,515
MIMAT0001532,516
MIMAT0019017,517
MIMAT0019018,518
MIMAT0019019,519
MIMAT0019021,520
MIMAT0019022,521
MIMAT0019027,522
MIMAT0019032,523
MIMAT0001541,524
MIMAT0003327,525
MIMAT0010251,526
MIMAT0019037,527
MIMAT0019040,528
MIMAT0019045,529
MIMAT0019046,530
MIMAT0001545,531
MIMAT0004909,532
MIMAT0019053,533
MIMAT0019055,534
MIMAT0001631,535
MIMAT0001635,536
MIMAT0019058,537
MIMAT0019069,538
MIMAT0019075,539
MIMAT0003885,540
MIMAT0003884,541
MIMAT0003150,542
MIMAT0019692,543
MIMAT0019695,544
MIMAT0019699,545
MIMAT0019704,546
MIMAT0019708,547
MIMAT0019713,548
MIMAT0019716,549
MIMAT0019719,550
MIMAT0019718,551
MIMAT0019721,552
MIMAT0015002,553
MIMAT0019730,554
MIMAT0019732,555
MIMAT0019738,556
MIMAT0019740,557
MIMAT0019749,558
MIMAT0019756,559
MIMAT0019757,560
MIMAT0019758,561
MIMAT0019762,562
MIMAT0019765,563
MIMAT0019772,564
MIMAT0019771,565
MIMAT0019775,566
MIMAT0019774,567
MIMAT0019778,568
MIMAT0019784,569
MIMAT0019789,570
MIMAT0019796,571
MIMAT0019798,572
MIMAT0019801,573
MIMAT0019806,574
MIMAT0019807,575
MIMAT0019815,576
MIMAT0019817,577
MIMAT0019820,578
MIMAT0019827,579
MIMAT0019826,580
MIMAT0019834,581
MIMAT0019835,582
MIMAT0019836,583
MIMAT0019839,584
MIMAT0019838,585
MIMAT0019844,586
MIMAT0019850,587
MIMAT0019851,588
MIMAT0019854,589
MIMAT0019855,590
MIMAT0019861,591
MIMAT0019868,592
MIMAT0019879,593
MIMAT0019878,594
MIMAT0019886,595
MIMAT0019887,596
MIMAT0019903,597
MIMAT0019905,598
MIMAT0019913,599
MIMAT0019916,600
MIMAT0019926,601
MIMAT0019928,602
MIMAT0019929,603
MIMAT0019934,604
MIMAT0019936,605
MIMAT0019938,606
MIMAT0019947,607
MIMAT0019957,608
MIMAT0019956,609
MIMAT0019958,610
MIMAT0019963,611
MIMAT0019968,612
MIMAT0019971,613
MIMAT0019972,614
MIMAT0019979,615
MIMAT0019984,616
MIMAT0002173,617
MIMAT0002174,618
MIMAT0002176,619
MIMAT0002175,620
MIMAT0004762,621
MIMAT0002177,622
MIMAT0002178,623
MIMAT0003180,624
MIMAT0004763,625
MIMAT0002805,626
MIMAT0002806,627
MIMAT0004764,628
MIMAT0002807,629
MIMAT0002812,630
MIMAT0003161,631
MIMAT0002816,632
MIMAT0002817,633
MIMAT0002818,634
MIMAT0002820,635
MIMAT0002824,636
MIMAT0002870,637
MIMAT0004773,638
MIMAT0016925,639
MIMAT0002872,640
MIMAT0004775,641
MIMAT0002873,642
MIMAT0002874,643
MIMAT0002875,644
MIMAT0002876,645
MIMAT0002878,646
MIMAT0002880,647
MIMAT0002881,648
MIMAT0002882,649
MIMAT0002823,650
MIMAT0002822,651
MIMAT0004777,652
MIMAT0002877,653
MIMAT0005788,654
MIMAT0005789,655
MIMAT0002883,656
MIMAT0002827,657
MIMAT0002826,658
MIMAT0006778,659
MIMAT0004770,660
MIMAT0002860,661
MIMAT0002859,662
MIMAT0002852,663
MIMAT0002857,664
MIMAT0002866,665
MIMAT0002863,666
MIMAT0005457,667
MIMAT0002844,668
MIMAT0002848,669
MIMAT0002847,670
MIMAT0002864,671
MIMAT0005456,672
MIMAT0002861,673
MIMAT0002842,674
MIMAT0002869,675
MIMAT0002837,676
MIMAT0002832,677
MIMAT0002831,678
MIMAT0002853,679
